fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CCyhLwQH06H,4138,,116
03/11/21,CClpNbvnDFf,1162,7989.0,99
03/11/21,CCbW60gHFtv,4883,,133
03/11/21,CCtlUtnnG61,2282,,61
03/11/21,CCrHcKVnaSF,3036,,55
03/11/21,CCyoDMFnK2C,2439,15468.0,76
03/11/21,CCozfBYpuDP,4820,,126
03/11/21,CCrVK-PHwB7,1102,8323.0,29
03/11/21,CCZQIbiJL4A,6972,46535.0,198
03/11/21,CCqy79RnOY2,1362,9259.0,45
03/11/21,CCgmddXHExQ,4291,,204
03/11/21,CCeIlcCHc1d,4947,,91
03/11/21,CCTufwDH1sX,1893,15882.0,70
03/11/21,CCMN2F3nUpz,23764,,1187
03/11/21,CCZF18bpRzZ,1433,13701.0,38
03/11/21,CCWVV3lHVzp,6995,,142
03/11/21,CCHAOG1plb8,4677,,199
03/11/21,CCRC3CfnTvs,3031,,46
03/11/21,CCE02eABYrC,3283,,132
03/11/21,CCY5xiEHN0L,4563,133304.0,161
03/11/21,CCHPfjcJC3o,2464,10583.0,103
03/11/21,CCMAKiSntqN,3297,,194
03/11/21,CCL5Rh3n4s1,2710,28649.0,63
03/11/21,CCGvplKHX2-,1644,15370.0,46
03/11/21,CB6o_oTg01b,5561,,152
03/11/21,CB2-S6xnyxO,5361,,134
03/11/21,CCCBlrwHV2V,6376,,70
03/11/21,CB14g-YnOwI,9598,557245.0,693
03/11/21,CByYzSrJLFR,4743,,67
