fetch date,short codes,number of likes,number of video views,number of comments
03/06/21,CJHbNk2Az6x,393111,,1540
03/06/21,CJJW2rVs90i,257541,,492
03/06/21,CJMXGweM5Vz,159728,594960.0,797
03/06/21,CJHv2Q8geOF,284135,,1257
03/06/21,CJL0wvInNJZ,126499,491339.0,1313
03/06/21,CJKG64UgGzm,234514,,450
03/06/21,CJO76_FMlZH,161830,896131.0,1231
03/06/21,CJOStDaLYzc,199211,796731.0,696
03/06/21,CJKUpBxLWhl,808182,,2552
03/06/21,CJMCg7MgLJ3,275555,,983
03/06/21,CJFYxNNl7La,200308,1227635.0,996
03/06/21,CJG_mUQH61K,206454,,721
03/06/21,CJEa6BghSzL,261506,,1105
03/06/21,CJCKy_ZMzlZ,348223,,938
03/06/21,CI_Ri4WHGWc,95465,,388
03/06/21,CJFEF1Knbq3,283234,,1065
03/06/21,CJBvPxDswv5,521047,,4445
03/06/21,CJFLCgSBk-0,409878,,925
03/06/21,CI_fHYSh6ym,497388,,1675
03/06/21,CJCmRZ9MaWM,507037,,2576
03/06/21,CJE2en3lAZ6,183597,601322.0,1167
03/06/21,CJCRnhPgLs9,84920,565132.0,280
03/06/21,CI86UoRFy-P,864348,,1048
03/06/21,CI4MMq4M5iC,441574,,1699
03/06/21,CI3-gWrHoQt,126354,,1790
03/06/21,CI8wAbPFExQ,432959,,2189
03/06/21,CI5zLloMA-H,174319,720391.0,2829
03/06/21,CI6ObzKlljY,161537,676155.0,2730
03/06/21,CI9YLGinxoA,100393,448941.0,805
03/06/21,CI-8qUKnLRc,320689,1422050.0,2307
03/06/21,CI6HwStA-jl,339076,,691
03/06/21,CI6qF03BHyI,342439,,1050
03/06/21,CI3wxdoLDIh,365820,,1651
03/06/21,CI3kZY8A4dy,269231,,1275
03/06/21,CI1ZznzHyLS,210753,,3465
03/06/21,CIzJawdgNMe,380997,,1696
03/06/21,CIwW9QNF3Xc,95746,498713.0,838
03/06/21,CI17_xaseDo,525089,,1697
03/06/21,CIv0o-IgWmW,234293,,835
03/06/21,CIy01vTlGeX,278631,,939
03/06/21,CIwk-3ynvZq,124002,,1448
03/06/21,CI1AJRhrWGO,104676,443230.0,561
03/06/21,CIynAWJHDEH,231327,,942
03/06/21,CI1L7NAJXjo,266171,,2099
03/06/21,CIygOKRlPCq,761187,,8699
03/06/21,CIyD6qLnKPl,151822,719707.0,1375
03/06/21,CItyy43nDgc,162002,,1570
03/06/21,CIoa0thsQwW,339509,,982
03/06/21,CIuGylbgyNn,462496,,1844
03/06/21,CIrbDCJA7LJ,405447,,1138
03/06/21,CInj3YYFnBu,459280,3010537.0,11978
03/06/21,CIoARmhHfHk,273956,1266898.0,2803
03/06/21,CIqWZkJlCBf,142691,613400.0,1209
03/06/21,CItPzASgswz,757115,,1545
03/06/21,CIohvokn3of,278206,,2396
03/06/21,CImRfETAigr,270169,,601
03/06/21,CIrNStqAGie,224856,,462
03/06/21,CIqkIkaDdoE,264859,1603903.0,1319
03/06/21,CIj6c5knSSG,130910,,676
03/06/21,CIlM1fAsEUI,147601,733028.0,1945
03/06/21,CIhH6tQsgvc,78403,383574.0,485
03/06/21,CIlbtg0sgtO,828440,,9578
03/06/21,CIi1ytyDvBb,593410,,1471
03/06/21,CIgllfzFdXN,237565,1480203.0,652
03/06/21,CIi8pR9FkG-,387121,,1993
03/06/21,CIjl2bcAsfw,420453,,2287
03/06/21,CIg6IYilY8t,464681,,2467
03/06/21,CIjKTojlQvq,997330,,5160
03/06/21,CImDtprBUfD,83863,504396.0,221
03/06/21,CIgzRHtroKB,189391,,401
03/06/21,CIgQ1cCHiWp,182627,,851
03/06/21,CIbwlHRFSE4,214102,,424
03/06/21,CIdzB1ylSIt,290671,1299454.0,1508
03/06/21,CIbOIWlrSHX,213238,,492
03/06/21,CIYgcWZnOa9,222860,,2346
03/06/21,CIY3QpyF5lE,282102,,1058
03/06/21,CIbcNc0HTLe,261956,,993
03/06/21,CIeKz1XnBsq,91358,,352
03/06/21,CIZLwnmlGv1,614270,,1184
03/06/21,CIZZc-5LnuH,267963,,9201
03/06/21,CIeVZiLsfps,158693,,598
03/06/21,CIb-U3Plg6z,232281,1208682.0,2249
03/06/21,CIRIyWhsofN,80419,381937.0,363
03/06/21,CITf4Ecjyqh,603930,,1513
03/06/21,CIWZO4Knicx,117730,660342.0,460
03/06/21,CIT7XmUDnAN,358701,,1083
03/06/21,CIVwDlNnQRQ,251084,1037119.0,2995
03/06/21,CIQ7GSiDEqn,343303,,573
03/06/21,CIQtoN_AWow,176082,,385
03/06/21,CIULFlDM0wP,312493,,2980
03/06/21,CIPAmJmgxEQ,130571,,491
03/06/21,CIRd2lsAA6b,225163,,1260
03/06/21,CIWt1A2ARRB,349639,,2697
03/06/21,CITt3sIJhZa,163389,,696
03/06/21,CIG1n9ElRsA,167534,,490
03/06/21,CIHX7bsFDjz,538686,,1944
03/06/21,CIJMrb9lHDN,111680,456098.0,413
03/06/21,CIHKMJwLiSQ,558706,,1717
03/06/21,CIMNAGvFXza,442177,,884
03/06/21,CIKKgp0FQ5m,107026,675117.0,350
03/06/21,CIMhlAEF4By,911344,,1348
03/06/21,CIFA2bMFWMr,151370,674181.0,475
03/06/21,CILxeTAFWFY,221392,,487
03/06/21,CIOkCYkn0as,244671,,1072
03/06/21,CIOLB9sgsDV,79431,413732.0,345
03/06/21,CIJu9-hJcLA,414522,,808
03/06/21,CH_HLnFnM37,145996,,864
03/06/21,CH_mNRLLXKe,151019,522431.0,730
03/06/21,CID1Vi9hjiO,107741,484931.0,428
03/06/21,CIBeQImFG1h,227670,,529
03/06/21,CH-ypsfFFGk,82859,368896.0,408
03/06/21,CIDnmhGj_uP,395902,2043109.0,1971
03/06/21,CIBsEB-FKny,408673,2213366.0,1182
03/06/21,CICOXE-lLOB,375971,,1114
03/06/21,CIEzC_nHFsq,195198,,792
03/06/21,CIEQy63nNc4,132632,,1111
03/06/21,CIB9JQ8FuQZ,173435,,655
03/06/21,CH_weKMllzM,394077,,976
03/06/21,CH52wQPgzTI,350609,,637
03/06/21,CH8wK9WAJ_k,603969,,1536
03/06/21,CH83S0RHt9E,163313,,989
03/06/21,CH6ttVDj0EF,212626,,605
03/06/21,CH6f9AFL0s-,116462,694428.0,384
03/06/21,CH5iIYvF5kh,138404,,469
03/06/21,CH6EjhPgt7s,471124,,2112
03/06/21,CH8icTcF-2C,242471,,901
03/06/21,CH9L22dnVp_,128228,,472
03/06/21,CH6SOWvM0G1,143330,,679
03/06/21,CH-rw51AwnC,151395,,767
03/06/21,CH9ExaislY7,141667,,359
03/06/21,CHyKQa7noPf,180427,,744
03/06/21,CH3Y4SOg0UY,282965,,590
03/06/21,CHyPUclAn35,285192,,960
03/06/21,CH3EP5nA_Kd,135135,716239.0,903
03/06/21,CHyj4sIMhu0,361367,,1176
03/06/21,CH3R814hp_X,209846,,312
03/06/21,CHyxlwCAZ41,169762,,426
03/06/21,CHzGK6cDUYr,137892,827852.0,744
03/06/21,CH4PxCvFLFs,262684,,1046
03/06/21,CH0YoJ0LkMz,59835,198817.0,2385
03/06/21,CH3tdxrDCv9,184177,835030.0,462
03/06/21,CH3LKeAhKUN,193847,,319
03/06/21,CHvILtHMRnw,299586,,735
03/06/21,CHxs6w2s1xX,317414,,1042
03/06/21,CHtMibYsMN-,449303,,1697
03/06/21,CHsjUhYDvaG,124527,,427
03/06/21,CHt1q2WnqUF,88244,401929.0,531
03/06/21,CHvfyinFyWT,55720,187870.0,171
03/06/21,CHvUBAbAMZ4,174550,,437
03/06/21,CHvxRpKpikO,534718,,2362
03/06/21,CHtaQvZJwj0,120980,,234
03/06/21,CHwahlls2u8,96346,457300.0,441
03/06/21,CHtDAEWlD-4,338175,1783569.0,2321
03/06/21,CHvjiD5FNeq,172804,905169.0,2193
03/06/21,CHqm0mPlJyv,68691,252177.0,337
03/06/21,CHoeYlSF0mu,242646,1153734.0,2138
03/06/21,CHnuVVCFJIL,722090,,1748
03/06/21,CHoQq-4r2OQ,211602,,633
03/06/21,CHrDPOwsnYv,357955,1888718.0,1652
03/06/21,CHlhu_IH-ZJ,430268,,1052
03/06/21,CHnS1o2s_uV,223920,,521
03/06/21,CHqFnP3HJri,206578,,793
03/06/21,CHrSZZfHaeF,181870,,813
03/06/21,CHq1dE0AKVx,437880,,976
03/06/21,CHn8EASlq7b,215500,,740
03/06/21,CHosMKwlLpF,294974,,864
03/06/21,CHlWy__H8qa,122337,567582.0,533
03/06/21,CHiyhAlFXE3,187112,962403.0,1000
03/06/21,CHjHG37hpLC,1200244,,3987
03/06/21,CHgiUgxrnw5,450091,,861
03/06/21,CHf53PCnQ1t,677494,,1179
03/06/21,CHjUxa5MOGX,344125,,1687
03/06/21,CHiaMrclm_y,194990,985352.0,2271
03/06/21,CHf_7cFlHcy,90619,472890.0,254
03/06/21,CHeY74BHjay,146782,,805
03/06/21,CHgNtOBHtEa,275212,,910
03/06/21,CHgwDEnFum5,90368,495158.0,445
03/06/21,CHikc5sn_lW,102254,,821
03/06/21,CHbLAXlFu9x,575372,,3647
03/06/21,CHa2UPalGGm,897382,,10369
03/06/21,CHdNX9Tg8b3,154901,530452.0,3311
03/06/21,CHbflGzlbnS,649812,,1023
03/06/21,CHZBzY4H98C,269982,,1916
03/06/21,CHd9gbEAA_V,282611,,545
03/06/21,CHdq2bNnHHj,747254,,2062
03/06/21,CHdbK4egbJB,487288,,1118
03/06/21,CHb0LL9sHrO,255666,1287002.0,1302
03/06/21,CHahxZ4A04J,92509,403040.0,431
03/06/21,CHYz0bHnEui,218191,,1383
03/06/21,CHYfVSoDemq,603922,,2934
03/06/21,CHF_gOvgccz,269936,1262545.0,1823
03/06/21,CHEbPkRFDhd,291058,,800
03/06/21,CHHNwKNFz78,209309,,1322
03/06/21,CHHAHwcloO-,322444,,1008
03/06/21,CHGQir8loGw,707136,,7059
03/06/21,CHYSK1-AqKN,499634,2131278.0,4466
03/06/21,CHGdurIFLGx,231654,,643
03/06/21,CHENiUQFrUO,80520,425647.0,374
03/06/21,CHEpBL-r_JY,524683,,3591
03/06/21,CHYBf0ZsR1N,118016,444051.0,520
03/06/21,CHQ0sFlnb-f,725242,,1915
03/06/21,CHRVycTAryq,259799,891777.0,1634
03/06/21,CG8YT8RlSqI,571248,,1753
03/06/21,CG_K5iqnvmB,495726,,2545
03/06/21,CHBa_h9AjbW,385539,,1242
03/06/21,CHBNalhn-wc,247781,,370
03/06/21,CG8zymNgfsR,420560,,1044
03/06/21,CG_YmAuF_2u,130365,654899.0,417
03/06/21,CG-GHx5gknr,641198,,2024
03/06/21,CHD47d6FydA,135196,,503
03/06/21,CHCgEegHP_U,118061,,451
03/06/21,CG-ofuLA0S9,295900,,5300
03/06/21,CG8l-XXAGmT,109287,611668.0,591
03/06/21,CHAzIVDguD1,588088,,1242
03/06/21,CG5ziSRAmSI,400339,,1795
03/06/21,CG2zRQrA02M,70696,283763.0,231
03/06/21,CG5e1XVHKsl,171412,,559
03/06/21,CG7oP8WgaNI,198788,,526
03/06/21,CG48hdfAnI8,502288,,1354
03/06/21,CG8DwSxnVZM,161550,,464
03/06/21,CG5KR1tgRQ9,321523,,752
03/06/21,CG3BAlzAZ-z,246676,,1770
03/06/21,CG7vHtJgaeB,431436,,874
03/06/21,CG6BMZzgc8y,249354,,689
03/06/21,CG3OxWyn118,471561,,5165
03/06/21,CG2liSggU_1,777864,,3671
03/06/21,CG2KCkRgQFW,101038,421414.0,482
03/06/21,CG0-mW2l2OJ,468396,,810
03/06/21,CGv7vyggabV,289665,,656
03/06/21,CGyFIrDreIt,224091,,1364
03/06/21,CGxcja5nrZA,228272,,1234
03/06/21,CG0W25yH80a,95317,,405
03/06/21,CGxwkfFlBkC,159232,,654
03/06/21,CGzy_74hW5f,212760,847249.0,3390
03/06/21,CGxON9zgI9Q,406861,1344162.0,1759
03/06/21,CG0p6EmAhTd,453793,,1167
03/06/21,CGyWTrHsqIJ,234935,,988
03/06/21,CG0BYnyg1iQ,302529,1632249.0,2828
03/06/21,CGvuCbegt5H,401731,,1094
03/06/21,CGqkgvFFqMJ,364124,,613
03/06/21,CGtJNhoAfwC,250458,,557
03/06/21,CGs7h0KF5F8,318750,,1267
03/06/21,CGsLcoJgIY3,302472,1153396.0,1729
03/06/21,CGuwQK9ggQY,97361,637223.0,575
03/06/21,CGvE1h3nFmK,129163,601876.0,296
03/06/21,CGqyNbJFmJK,141707,,441
03/06/21,CGqWssilemf,181098,,481
03/06/21,CGvc4LqA1fK,1154414,,2295
03/06/21,CGswL4mHUGU,202901,845417.0,922
03/06/21,CGsZ4O-HPco,65822,315033.0,249
03/06/21,CGm7Df0AgNx,107144,516559.0,358
03/06/21,CGphtVNA9JO,225938,1012034.0,1309
03/06/21,CGoUT_3g6b1,574002,3208437.0,2507
03/06/21,CGn_nk9g9B_,297706,,655
03/06/21,CGnihb9HQgc,291487,,1024
03/06/21,CGk8ARAggzr,95428,,306
03/06/21,CGnudEtnhpF,275658,,662
03/06/21,CGqCIy1nsYV,237051,,1631
03/06/21,CGla7TtlMAa,303987,,856
03/06/21,CGlGd_0noyT,129270,,460
03/06/21,CGnPkKHgIy3,460208,,809
03/06/21,CGp05oIlWfB,230899,,463
03/06/21,CGfW_bkHOTB,86707,339002.0,316
03/06/21,CGkxtDjF2Xn,145787,,359
03/06/21,CGgRSvVlnei,472995,,1368
03/06/21,CGiCtpsHv1d,171934,655713.0,1028
03/06/21,CGgDhVSlvo5,175997,,362
03/06/21,CGiwS_jnIuH,93880,437732.0,566
03/06/21,CGdll6wFidy,103774,451785.0,836
03/06/21,CGik6n2FGqL,532210,,1252
03/06/21,CGiM3uIlQXu,234781,,1267
03/06/21,CGkk83ElKvv,370466,1680919.0,3566
03/06/21,CGfoDaDFbtz,179010,,547
03/06/21,CGiam8nFskA,181484,,527
03/06/21,CGbVydEnhtH,262110,,1110
03/06/21,CGc1hbNgZOS,193759,1022066.0,1156
03/06/21,CGYcCxll0sh,150134,791213.0,1196
03/06/21,CGYAlJOlGnq,337174,,6890
03/06/21,CGcnxHNlSW5,222703,,511
03/06/21,CGbHpWtl4mb,241986,,391
03/06/21,CGaXnkhF8YE,124323,,404
03/06/21,CGYQR_KnOV5,152023,,515
03/06/21,CGaJ2g9FBSr,270871,1127656.0,1336
03/06/21,CGdDdyJHR0A,200346,,379
03/06/21,CGdRDpNHKFY,245918,,1828
03/06/21,CGa2gwvF0xB,329498,,2212
03/06/21,CGSkG_DF_v5,512382,,6023
03/06/21,CGSUmE4A2JV,208252,1201842.0,1605
03/06/21,CGTLiPoLKtM,191222,,499
03/06/21,CGTgKeGH1np,246581,,2483
03/06/21,CGS2_Wpl3GV,91525,368388.0,296
03/06/21,CGXy1UuFKgr,180871,,467
03/06/21,CGXh15qnSod,423938,,1745
03/06/21,CGUyho0A_er,241211,995290.0,878
03/06/21,CGV90I4nB-2,130609,,583
03/06/21,CGWL1NulBI_,478208,,1157
03/06/21,CGVTzAqHfNt,219554,914647.0,1587
03/06/21,CGVbw2GFGpM,181222,684582.0,1047
03/06/21,CGNtacAFWW-,240219,1165647.0,779
03/06/21,CGPv4LegLSr,137438,,377
03/06/21,CGNYyWBgpTe,192531,,877
03/06/21,CGQtoBoljx2,157431,630414.0,322
03/06/21,CGQf4ilH5U1,295946,,1798
