fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CHaw0j4FgDt,3519,,62
03/11/21,CHYYfoIhwks,4343,60390.0,118
03/11/21,CHN4hxTBIj3,2080,,111
03/11/21,CHTuFHkByAu,1844,,61
03/11/21,CHRCV_ihQZi,4296,,61
03/11/21,CHIvO50hwwv,2829,,83
03/11/21,CHV1osyhZUD,3086,,79
03/11/21,CHZLRdnhlL2,1803,,117
03/11/21,CHYO5ITA2rA,598,6313.0,16
03/11/21,CHROiUEhEKl,4271,,112
03/11/21,CHYF7rzBJyA,6068,,44
03/11/21,CHYf31tHq50,21577,293763.0,674
03/11/21,CHBNbW-Bqsx,1756,,39
03/11/21,CG-xU9oB2v6,2975,,424
03/11/21,CG8MecJBeFJ,1482,,33
03/11/21,CHDkSfenWlz,1202,12405.0,51
03/11/21,CHGzLLShgYa,1656,,104
03/11/21,CHBed6Zgjn7,601,8170.0,45
03/11/21,CHDwf2IhtIz,6443,,216
03/11/21,CG7vCeUn6dD,638,5220.0,18
03/11/21,CG8hXgyH8Wf,2626,,130
03/11/21,CHA7pAzh5nF,2382,,76
03/11/21,CHGdrlpp0wM,1136,,33
03/11/21,CHD45D_J5HC,5285,,150
03/11/21,CG5MiSOn7Be,2714,,38
03/11/21,CG0K9EsHFoD,1294,13848.0,21
03/11/21,CG26C_QpHxL,779,6922.0,38
03/11/21,CG2r6mKAh5s,607,6355.0,19
03/11/21,CG5t6KGBukS,918,,21
03/11/21,CG01Vj8hFiZ,1468,,81
03/11/21,CG0qn8JhnUQ,1546,,12
03/11/21,CGyZqL8nmd9,2315,,60
03/11/21,CG0S2q_lI5F,2002,,56
03/11/21,CG2jvXUnHbY,711,6780.0,16
03/11/21,CG0mXsfhtZ9,1408,,15
03/11/21,CG59vcrjeon,3611,,99
03/11/21,CGvLqksjMHV,1551,11349.0,34
03/11/21,CGu3EEUnodf,488,4923.0,9
03/11/21,CGyFnV6hQjz,988,,13
03/11/21,CGtJODInnfW,622,5472.0,21
03/11/21,CGxfS3onDZx,6982,,107
03/11/21,CGvnIStpbX7,4577,,74
03/11/21,CGv1ugZhqOp,2370,,71
03/11/21,CGtaRf5B56C,982,12655.0,73
03/11/21,CGtQHHbAJZv,750,11396.0,23
03/11/21,CGr9sjygHN0,434,3049.0,13
03/11/21,CGsZKiYn0ne,503,3690.0,4
03/11/21,CGrnMspBgZH,1034,7314.0,14
03/11/21,CGqS7wQpc_t,581,8056.0,14
03/11/21,CGsgAEKp4sy,642,,4
03/11/21,CGndRpdJ7Km,2795,22204.0,71
03/11/21,CGs7ewrnsNY,534,4479.0,3
03/11/21,CGsm5RlJuNw,492,4175.0,3
03/11/21,CGstzkygoqm,528,5472.0,18
03/11/21,CGtCOw1BI8E,459,4753.0,12
03/11/21,CGsZIrZnlm6,823,5386.0,11
03/11/21,CGs0nPGHpYX,527,3873.0,4
03/11/21,CGaaFUMByjX,1806,,61
03/11/21,CGbDskGh_sB,1366,,506
03/11/21,CGk8eAEBIsJ,12829,,257
03/11/21,CGnPjSZHSO8,1116,,44
03/11/21,CGa56NwlW1n,570,5820.0,17
03/11/21,CGi5dYCFQbU,621,8452.0,74
03/11/21,CGdLo_JhBz9,3259,,46
03/11/21,CGdlkH7JVuX,4735,,130
03/11/21,CGazDccsxNQ,1082,12301.0,19
03/11/21,CGdYi0Oh6in,1470,,60
03/11/21,CGfoJuxpRtE,1175,,65
03/11/21,CGie-j1BH-N,1848,,67
03/11/21,CGWKiCvhqgP,1384,,72
03/11/21,CGQ3eslBy5T,1896,,54
03/11/21,CGVs1uhhHJR,2786,,32
03/11/21,CGOXFA0hN7S,2292,,58
03/11/21,CGTE0EABc57,1216,,58
03/11/21,CGY-4qUorO9,1540,,130
03/11/21,CGXyxoKhIMw,423,3925.0,4
03/11/21,CGYoCrzB_JO,3264,,38
03/11/21,CGSjI5JhgCd,1307,,38
03/11/21,CGYHXzvj61_,944,10609.0,5
03/11/21,CGWA4G3FZzD,1639,,23
03/11/21,CGQEY9qgjZX,1844,,49
03/11/21,CGLKLUHBG2g,2540,,59
03/11/21,CGIWrHnhxvn,3270,,36
03/11/21,CGGH2drBvtI,2230,,74
03/11/21,CGC-rsSnE56,1969,17947.0,60
03/11/21,CGKtpDsHkpF,1882,,25
03/11/21,CGDdeioh3Fs,1809,,41
03/11/21,CGIPSC4BDhL,1410,,32
03/11/21,CGBXsPTleLY,559,5060.0,67
03/11/21,CGNmlKNBT0y,3585,,51
03/11/21,CGJKNjehZ0U,1799,,70
03/11/21,CGBJ88TFK0N,1328,,51
03/11/21,CGDyLjbnf5B,984,9175.0,119
03/11/21,CF06nFOomMb,2381,,71
03/11/21,CF5ib0YjUnL,1441,,83
03/11/21,CF25rWVndXS,2248,,39
03/11/21,CF-zZfpByX3,1808,,62
03/11/21,CF2Ku6Ahbrb,2063,,45
03/11/21,CF8AXYwpSDm,2980,,250
03/11/21,CF5G9-Xg0DR,2208,,47
03/11/21,CF2lmw6HUQf,1981,,97
